Sl. No.,Districts/ States,Top 5 Commodities,Products/Services identified with Export Potential,Value of Export (in US$ Million)
153,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1563.99
154,Total export of District,Total export of District,Total export of District,2010.32
155,Valsad (Gujarat),1. Organic And Inorganic Chemicals,"Chemical and paper, Mango, Marine Products",643.9
156,Valsad (Gujarat),2. Engineering Goods,"Chemical and paper, Mango, Marine Products",297.87
157,Valsad (Gujarat),"3. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.","Chemical and paper, Mango, Marine Products",222.27
158,Valsad (Gujarat),4. Plastic And Linoleum,"Chemical and paper, Mango, Marine Products",177.37
159,Valsad (Gujarat),5. Drugs And Pharmaceuticals,"Chemical and paper, Mango, Marine Products",140.26
160,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1481.67
161,Total export of District,Total export of District,Total export of District,1970.23
162,Jharsuguda (Odisha),1. Engineering Goods,"Aluminium, Products, Chilly, Ginger",1949.61
163,Jharsuguda (Odisha),2. Ceramic Products And Glassware,"Aluminium, Products, Chilly, Ginger",16.12
164,Jharsuguda (Odisha),3. Organic And Inorganic Chemicals,"Aluminium, Products, Chilly, Ginger",1.78
165,Jharsuguda (Odisha),4. Others,"Aluminium, Products, Chilly, Ginger",0.06
166,Jharsuguda (Odisha),"5. Mica, Coal And Other Ores, Minerals Including Process","Aluminium, Products, Chilly, Ginger",0.01
167,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1967.58
168,Total export of District,Total export of District,Total export of District,1967.59
169,Dadra and Nagar Haveli,1. Man-Made Yarn/Fabs./Madeups Etc.,"Yarn, Fabrics, Pharmaceuticals, Cables, Rubber, Plastic Products, Readymade garments, Engineering products",418.37
170,Dadra and Nagar Haveli,2. Engineering Goods,"Yarn, Fabrics, Pharmaceuticals, Cables, Rubber, Plastic Products, Readymade garments, Engineering products",403.13
171,Dadra and Nagar Haveli,3. Plastic And Linoleum,"Yarn, Fabrics, Pharmaceuticals, Cables, Rubber, Plastic Products, Readymade garments, Engineering products",385.18
172,Dadra and Nagar Haveli,4. Drugs And Pharmaceuticals,"Yarn, Fabrics, Pharmaceuticals, Cables, Rubber, Plastic Products, Readymade garments, Engineering products",182.17
173,Dadra and Nagar Haveli,5. Organic And Inorganic Chemicals,"Yarn, Fabrics, Pharmaceuticals, Cables, Rubber, Plastic Products, Readymade garments, Engineering products",119.3
174,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1508.15
